pk_date;bk_period;full_name_date;day_number_of_week;day_name;month_name;month_number_of_year;day_number_of_year;week_number_of_year;calendar_quarter;calendar_year;day_number_of_month
20160701;01/07/2016;Friday, July 1, 2016;6;Friday;July;7;183;27;3;2016;1
20160702;02/07/2016;Saturday, July 2, 2016;7;Saturday;July;7;184;27;3;2016;2
20160703;03/07/2016;Sunday, July 3, 2016;1;Sunday;July;7;185;27;3;2016;3
20160704;04/07/2016;Monday, July 4, 2016;2;Monday;July;7;186;28;3;2016;4
20160705;05/07/2016;Tuesday, July 5, 2016;3;Tuesday;July;7;187;28;3;2016;5
20160706;06/07/2016;Wednesday, July 6, 2016;4;Wednesday;July;7;188;28;3;2016;6
20160707;07/07/2016;Thursday, July 7, 2016;5;Thursday;July;7;189;28;3;2016;7
20160708;08/07/2016;Friday, July 8, 2016;6;Friday;July;7;190;28;3;2016;8
20160709;09/07/2016;Saturday, July 9, 2016;7;Saturday;July;7;191;28;3;2016;9
20160710;10/07/2016;Sunday, July 10, 2016;1;Sunday;July;7;192;28;3;2016;10
20160711;11/07/2016;Monday, July 11, 2016;2;Monday;July;7;193;29;3;2016;11
20160712;12/07/2016;Tuesday, July 12, 2016;3;Tuesday;July;7;194;29;3;2016;12
20160713;13/07/2016;Wednesday, July 13, 2016;4;Wednesday;July;7;195;29;3;2016;13
20160714;14/07/2016;Thursday, July 14, 2016;5;Thursday;July;7;196;29;3;2016;14
20160715;15/07/2016;Friday, July 15, 2016;6;Friday;July;7;197;29;3;2016;15
20160716;16/07/2016;Saturday, July 16, 2016;7;Saturday;July;7;198;29;3;2016;16
20160717;17/07/2016;Sunday, July 17, 2016;1;Sunday;July;7;199;29;3;2016;17
20160718;18/07/2016;Monday, July 18, 2016;2;Monday;July;7;200;30;3;2016;18
20160719;19/07/2016;Tuesday, July 19, 2016;3;Tuesday;July;7;201;30;3;2016;19
20160720;20/07/2016;Wednesday, July 20, 2016;4;Wednesday;July;7;202;30;3;2016;20
20160721;21/07/2016;Thursday, July 21, 2016;5;Thursday;July;7;203;30;3;2016;21
20160722;22/07/2016;Friday, July 22, 2016;6;Friday;July;7;204;30;3;2016;22
20160723;23/07/2016;Saturday, July 23, 2016;7;Saturday;July;7;205;30;3;2016;23
20160724;24/07/2016;Sunday, July 24, 2016;1;Sunday;July;7;206;30;3;2016;24
20160725;25/07/2016;Monday, July 25, 2016;2;Monday;July;7;207;31;3;2016;25
20160726;26/07/2016;Tuesday, July 26, 2016;3;Tuesday;July;7;208;31;3;2016;26
20160727;27/07/2016;Wednesday, July 27, 2016;4;Wednesday;July;7;209;31;3;2016;27
20160728;28/07/2016;Thursday, July 28, 2016;5;Thursday;July;7;210;31;3;2016;28
20160729;29/07/2016;Friday, July 29, 2016;6;Friday;July;7;211;31;3;2016;29
20160730;30/07/2016;Saturday, July 30, 2016;7;Saturday;July;7;212;31;3;2016;30
20160731;31/07/2016;Sunday, July 31, 2016;1;Sunday;July;7;213;31;3;2016;31
20160801;01/08/2016;Monday, August 1, 2016;2;Monday;August;8;214;32;3;2016;1
20160802;02/08/2016;Tuesday, August 2, 2016;3;Tuesday;August;8;215;32;3;2016;2
20160803;03/08/2016;Wednesday, August 3, 2016;4;Wednesday;August;8;216;32;3;2016;3
20160804;04/08/2016;Thursday, August 4, 2016;5;Thursday;August;8;217;32;3;2016;4
20160805;05/08/2016;Friday, August 5, 2016;6;Friday;August;8;218;32;3;2016;5
20160806;06/08/2016;Saturday, August 6, 2016;7;Saturday;August;8;219;32;3;2016;6
20160807;07/08/2016;Sunday, August 7, 2016;1;Sunday;August;8;220;32;3;2016;7
20160808;08/08/2016;Monday, August 8, 2016;2;Monday;August;8;221;33;3;2016;8
20160809;09/08/2016;Tuesday, August 9, 2016;3;Tuesday;August;8;222;33;3;2016;9
20160810;10/08/2016;Wednesday, August 10, 2016;4;Wednesday;August;8;223;33;3;2016;10
20160811;11/08/2016;Thursday, August 11, 2016;5;Thursday;August;8;224;33;3;2016;11
20160812;12/08/2016;Friday, August 12, 2016;6;Friday;August;8;225;33;3;2016;12
20160813;13/08/2016;Saturday, August 13, 2016;7;Saturday;August;8;226;33;3;2016;13
20160814;14/08/2016;Sunday, August 14, 2016;1;Sunday;August;8;227;33;3;2016;14
20160815;15/08/2016;Monday, August 15, 2016;2;Monday;August;8;228;34;3;2016;15
20160816;16/08/2016;Tuesday, August 16, 2016;3;Tuesday;August;8;229;34;3;2016;16
20160817;17/08/2016;Wednesday, August 17, 2016;4;Wednesday;August;8;230;34;3;2016;17
20160818;18/08/2016;Thursday, August 18, 2016;5;Thursday;August;8;231;34;3;2016;18
20160819;19/08/2016;Friday, August 19, 2016;6;Friday;August;8;232;34;3;2016;19
20160820;20/08/2016;Saturday, August 20, 2016;7;Saturday;August;8;233;34;3;2016;20
20160821;21/08/2016;Sunday, August 21, 2016;1;Sunday;August;8;234;34;3;2016;21
20160822;22/08/2016;Monday, August 22, 2016;2;Monday;August;8;235;35;3;2016;22
20160823;23/08/2016;Tuesday, August 23, 2016;3;Tuesday;August;8;236;35;3;2016;23
20160824;24/08/2016;Wednesday, August 24, 2016;4;Wednesday;August;8;237;35;3;2016;24
20160825;25/08/2016;Thursday, August 25, 2016;5;Thursday;August;8;238;35;3;2016;25
20160826;26/08/2016;Friday, August 26, 2016;6;Friday;August;8;239;35;3;2016;26
20160827;27/08/2016;Saturday, August 27, 2016;7;Saturday;August;8;240;35;3;2016;27
20160828;28/08/2016;Sunday, August 28, 2016;1;Sunday;August;8;241;35;3;2016;28
20160829;29/08/2016;Monday, August 29, 2016;2;Monday;August;8;242;36;3;2016;29
20160830;30/08/2016;Tuesday, August 30, 2016;3;Tuesday;August;8;243;36;3;2016;30
20160831;31/08/2016;Wednesday, August 31, 2016;4;Wednesday;August;8;244;36;3;2016;31
20160901;01/09/2016;Thursday, September 1, 2016;5;Thursday;September;9;245;36;3;2016;1
20160902;02/09/2016;Friday, September 2, 2016;6;Friday;September;9;246;36;3;2016;2
20160903;03/09/2016;Saturday, September 3, 2016;7;Saturday;September;9;247;36;3;2016;3
20160904;04/09/2016;Sunday, September 4, 2016;1;Sunday;September;9;248;36;3;2016;4
